Chromosome,LP,P,LB,VUS,Other,B
7,6353.0,8300.0,56538,113230,19134.0,10954
15,6261.0,7388.0,40118,80785,11313.0,7757
11,9271.0,11501.0,65213,140183,20904.0,11225
14,3937.0,4281.0,38096,76425,10937.0,6462
6,7058.0,7817.0,49201,106015,18313.0,10234
2,18866.0,17518.0,113467,183942,35454.0,16439
20,2275.0,2954.0,24989,51925,8409.0,4812
10,4652.0,5522.0,42578,88509,13158.0,8865
19,6243.0,6533.0,62551,145933,21343.0,10540
16,7184.0,10684.0,62014,117912,20713.0,9213
22,2797.0,4249.0,24786,51573,7834.0,4974
12,6480.0,7859.0,48747,110181,18515.0,10870
1,12368.0,13063.0,102361,216796,35881.0,18481
8,4343.0,6194.0,38264,80957,12957.0,7275
9,5877.0,7602.0,56080,98815,16964.0,9647
13,3674.0,7962.0,20736,39016,11828.0,4254
21,1556.0,2048.0,14506,23544,5201.0,2939
5,6320.0,9631.0,55586,113557,18237.0,10861
4,4228.0,4940.0,39680,87605,13112.0,7875
17,9628.0,18212.0,65931,134325,26753.0,11867
18,2201.0,2716.0,21026,37903,5356.0,4512
3,7464.0,9803.0,62076,130474,20863.0,11160
MT,108.0,78.0,729,1256,53.0,900
Y,56.0,133.0,318,360,2109.0,224
X,9556.0,15757.0,41714,68536,44798.0,10143
Un,,,1,1,,1
