Gene,gnomAD_total_vars,ClinVar_annotated,ClinVar_coverage_%,EUR_total_obs,EUR_VUS_n,EUR_VUS_%,EUR_PLP_%,EUR_BLB_%,nonEUR_total_obs,nonEUR_VUS_n,nonEUR_VUS_%,nonEUR_PLP_%,nonEUR_BLB_%,Delta_VUS_%_EUR_minus_nonEUR,Delta_PLP_%_EUR_minus_nonEUR
ABCC8,2744,876,31.9,538,130,24.16,7.99,36.43,585,127,21.71,5.98,40.68,2.45,2.01
APPL1,1003,127,12.7,81,35,43.21,1.23,48.15,102,42,41.18,0.0,50.0,2.03,1.23
BLK,1091,222,20.3,150,61,40.67,0.0,48.67,175,62,35.43,0.0,53.14,5.24,0.0
CEL,1424,268,18.8,202,71,35.15,0.99,56.44,209,75,35.89,0.0,56.46,-0.74,0.99
GCK,814,180,22.1,120,18,15.0,10.83,53.33,130,24,18.46,3.08,55.38,-3.46,7.76
HNF1A,878,352,40.1,219,59,26.94,2.74,53.42,264,64,24.24,1.52,55.3,2.7,1.22
HNF1B,716,227,31.7,133,30,22.56,1.5,42.86,162,41,25.31,0.62,47.53,-2.75,0.89
HNF4A,1051,220,20.9,148,41,27.7,5.41,47.97,154,39,25.32,1.95,51.3,2.38,3.46
INS,156,52,33.3,38,7,18.42,5.26,52.63,42,8,19.05,4.76,52.38,-0.63,0.5
KCNJ11,279,171,61.3,100,38,38.0,3.0,20.0,129,50,38.76,4.65,20.16,-0.76,-1.65
KLF11,651,175,26.9,114,65,57.02,0.0,37.72,125,65,52.0,0.0,40.0,5.02,0.0
NEUROD1,261,118,45.2,64,38,59.38,0.0,31.25,82,47,57.32,0.0,34.15,2.06,0.0
PAX4,678,116,17.1,84,38,45.24,0.0,47.62,99,44,44.44,0.0,46.46,0.79,0.0
PDX1,357,123,34.5,70,32,45.71,0.0,32.86,91,39,42.86,0.0,36.26,2.86,0.0
PPARG,540,112,20.7,53,24,45.28,1.89,41.51,89,26,29.21,1.12,60.67,16.07,0.76
PTF1A,442,87,19.7,41,18,43.9,2.44,36.59,65,31,47.69,0.0,38.46,-3.79,2.44
WFS1,1606,940,58.5,615,196,31.87,6.02,33.5,696,217,31.18,5.17,37.93,0.69,0.84
