gene,population,n_variants
HNF1A,AFR,366
HNF1A,AMR,197
HNF1A,EAS,113
HNF1A,SAS,116
HNF1A,MID,29
HNF1A,NFE,446
HNF1A,FIN,62
HNF1A,ASJ,44
HNF4A,AFR,439
HNF4A,AMR,206
HNF4A,EAS,126
HNF4A,SAS,143
HNF4A,MID,29
HNF4A,NFE,510
HNF4A,FIN,54
HNF4A,ASJ,36
HNF1B,AFR,286
HNF1B,AMR,153
HNF1B,EAS,66
HNF1B,SAS,81
HNF1B,MID,33
HNF1B,NFE,341
HNF1B,FIN,50
HNF1B,ASJ,28
GCK,AFR,303
GCK,AMR,158
GCK,EAS,98
GCK,SAS,119
GCK,MID,25
GCK,NFE,372
GCK,FIN,51
GCK,ASJ,33
KCNJ11,AFR,140
KCNJ11,AMR,52
KCNJ11,EAS,27
KCNJ11,SAS,40
KCNJ11,MID,8
KCNJ11,NFE,144
KCNJ11,FIN,18
KCNJ11,ASJ,11
ABCC8,AFR,1079
ABCC8,AMR,486
ABCC8,EAS,308
ABCC8,SAS,321
ABCC8,MID,67
ABCC8,NFE,1412
ABCC8,FIN,161
ABCC8,ASJ,92
INS,AFR,67
INS,AMR,35
INS,EAS,20
INS,SAS,23
INS,MID,9
INS,NFE,92
INS,FIN,9
INS,ASJ,7
PDX1,AFR,146
PDX1,AMR,79
PDX1,EAS,38
PDX1,SAS,32
PDX1,MID,6
PDX1,NFE,163
PDX1,FIN,21
PDX1,ASJ,9
NEUROD1,AFR,89
NEUROD1,AMR,32
NEUROD1,EAS,26
NEUROD1,SAS,25
NEUROD1,MID,4
NEUROD1,NFE,134
NEUROD1,FIN,15
NEUROD1,ASJ,7
PTF1A,AFR,156
PTF1A,AMR,92
PTF1A,EAS,44
PTF1A,SAS,55
PTF1A,MID,16
PTF1A,NFE,211
PTF1A,FIN,33
PTF1A,ASJ,14
CEL,AFR,553
CEL,AMR,313
CEL,EAS,187
CEL,SAS,179
CEL,MID,43
CEL,NFE,752
CEL,FIN,126
CEL,ASJ,83
PPARG,AFR,203
PPARG,AMR,120
PPARG,EAS,59
PPARG,SAS,63
PPARG,MID,13
PPARG,NFE,245
PPARG,FIN,24
PPARG,ASJ,17
APPL1,AFR,388
APPL1,AMR,166
APPL1,EAS,93
APPL1,SAS,104
APPL1,MID,26
APPL1,NFE,472
APPL1,FIN,55
APPL1,ASJ,33
BLK,AFR,472
BLK,AMR,210
BLK,EAS,120
BLK,SAS,136
BLK,MID,34
BLK,NFE,567
BLK,FIN,49
BLK,ASJ,31
KLF11,AFR,235
KLF11,AMR,120
KLF11,EAS,58
KLF11,SAS,60
KLF11,MID,8
KLF11,NFE,345
KLF11,FIN,24
KLF11,ASJ,15
PAX4,AFR,271
PAX4,AMR,137
PAX4,EAS,72
PAX4,SAS,92
PAX4,MID,24
PAX4,NFE,339
PAX4,FIN,49
PAX4,ASJ,24
WFS1,AFR,723
WFS1,AMR,386
WFS1,EAS,219
WFS1,SAS,231
WFS1,MID,56
WFS1,NFE,916
WFS1,FIN,98
WFS1,ASJ,66
