Population,N_variants,VUS_n,VUS_%,PLP_n,PLP_%,BLB_n,BLB_%
NFE,2689,864,32.13090368166605,111,4.1279285979918185,1119,41.613982893268876
AFR,2212,645,29.159132007233275,58,2.6220614828209765,1040,47.01627486437613
EAS,717,149,20.781032078103205,8,1.1157601115760112,388,54.11436541143654
AMR,1396,280,20.057306590257877,23,1.64756446991404,736,52.72206303724928
SAS,819,144,17.582417582417584,14,1.7094017094017095,456,55.67765567765568
FIN,436,65,14.908256880733944,7,1.6055045871559634,254,58.256880733944946
ASJ,363,30,8.264462809917356,5,1.3774104683195594,243,66.94214876033058
MID,298,18,6.0402684563758395,1,0.33557046979865773,216,72.48322147651007
